Feature,Contribution,AbsContribution
V12,-0.10527215846103631,0.10527215846103631
V3,-0.07989359673337282,0.07989359673337282
V14,-0.07541795615815056,0.07541795615815056
V10,-0.04661476135171501,0.04661476135171501
V17,-0.03554797433290287,0.03554797433290287
V4,-0.03212003326502051,0.03212003326502051
V16,-0.01854142240412092,0.01854142240412092
V7,-0.01578479505966271,0.01578479505966271
V11,-0.008529438293962051,0.008529438293962051
V8,-0.007854205406854428,0.007854205406854428
V18,-0.006715122097199941,0.006715122097199941
V5,-0.006411794320123738,0.006411794320123738
Amount,-0.005046328057551178,0.005046328057551178
V21,-0.004653078426518695,0.004653078426518695
V19,-0.004575542615318363,0.004575542615318363
V2,-0.004401002064320112,0.004401002064320112
V26,-0.003950645987336035,0.003950645987336035
V9,-0.0036430347137293997,0.0036430347137293997
V13,-0.003602559697394146,0.003602559697394146
V20,-0.00347645365492488,0.00347645365492488
V27,-0.003204119846755394,0.003204119846755394
V28,-0.00318201331546023,0.00318201331546023
V22,-0.003146555303853732,0.003146555303853732
V15,-0.0026483768914073837,0.0026483768914073837
V1,-0.00254600622808279,0.00254600622808279
Log_Amount,-0.002414888507662058,0.002414888507662058
V25,-0.0022525064669771636,0.0022525064669771636
V23,-0.002122325166878087,0.002122325166878087
Time,-0.0020791077198014365,0.0020791077198014365
V6,-0.00207266892693317,0.00207266892693317
V24,-0.0017082208149837442,0.0017082208149837442
Amount_Level,-0.0006811979073282096,0.0006811979073282096
Large_Transaction,-3.228091890484741e-05,3.228091890484741e-05
