Feature,Importance
V14,0.17589479312636447
V10,0.1339897640315422
V12,0.10412837941927161
V17,0.10203545644074201
V4,0.08141587568531244
V11,0.06365693267526083
V3,0.059081561640286814
V7,0.043540006063851444
V16,0.03008310384179259
V2,0.019681960640253404
V18,0.01579162221505524
V9,0.014886616372436115
V8,0.014549617384418762
V19,0.013844253852244168
V21,0.013173527896899701
V27,0.012437633683024424
V5,0.00930926506395991
V20,0.009117467909167657
V26,0.008084570635936903
Amount,0.008036149817153584
V6,0.007862040822295299
V1,0.006937791489509342
V28,0.006876275096941842
V13,0.006823349162844808
V15,0.006818618594935732
Log_Amount,0.00604284568524128
V22,0.005837361040295064
V24,0.005094003717184877
V23,0.004573913459396328
V25,0.004416386824161479
Time,0.004272003856247475
Amount_Level,0.0015054800114594593
Large_Transaction,0.00020137184451266118
