False Positive Rate,True Positive Rate,Threshold
0.0,0.0,inf
0.0,0.12631578947368421,1.0
0.0,0.2,0.99
0.0,0.3157894736842105,0.98
1.7651939065506346e-05,0.35789473684210527,0.97
1.7651939065506346e-05,0.3684210526315789,0.96
1.7651939065506346e-05,0.3894736842105263,0.95
1.7651939065506346e-05,0.4105263157894737,0.93
1.7651939065506346e-05,0.4421052631578947,0.92
1.7651939065506346e-05,0.4842105263157895,0.9
1.7651939065506346e-05,0.5473684210526316,0.89
1.7651939065506346e-05,0.5578947368421052,0.88
1.7651939065506346e-05,0.5789473684210527,0.87
1.7651939065506346e-05,0.6105263157894737,0.83
1.7651939065506346e-05,0.631578947368421,0.8
1.7651939065506346e-05,0.6736842105263158,0.73
1.7651939065506346e-05,0.6947368421052632,0.72
1.7651939065506346e-05,0.7157894736842105,0.69
3.530387813101269e-05,0.7157894736842105,0.65
5.2955817196519035e-05,0.7263157894736842,0.54
7.060775626202538e-05,0.7263157894736842,0.5
7.060775626202538e-05,0.7368421052631579,0.49
0.00010591163439303807,0.7368421052631579,0.42
0.00010591163439303807,0.8,0.26
0.0001235635734585444,0.8,0.24
0.00021182326878607614,0.8,0.23
0.0002294752078515825,0.8,0.19
0.0002294752078515825,0.8105263157894737,0.18
0.0002647790859825952,0.8105263157894737,0.17
0.0003353868422446206,0.8105263157894737,0.16
0.0003530387813101269,0.8105263157894737,0.14
0.0004236465375721523,0.8210526315789474,0.12
0.0004766023547686713,0.8210526315789474,0.11
0.0004942542938341777,0.8210526315789474,0.1
0.0005825139891617095,0.8210526315789474,0.09
0.0007413814407512665,0.8210526315789474,0.08
0.001076768282995887,0.8210526315789474,0.07
0.0013591993080439887,0.8315789473684211,0.06
0.0020123210534677234,0.8315789473684211,0.05
0.003106741275529117,0.8315789473684211,0.04
0.005136714268062346,0.8315789473684211,0.03
0.010591163439303808,0.8421052631578947,0.02
0.039010785334769024,0.8947368421052632,0.01
1.0,1.0,0.0
